TotalItems,DistinctItems,MaxItems,Entropy,TotalSale,Frequency,CustomerCountry,MonthSale,WeekSale,MonthFrequency,WeekFrequency,Recency,MonthItems,WeekItems,MonthDistinctItems,WeekDistinctItems,EntropyMonth,EntropyWeek,CustomerLabel
594,179,250,7.392,375.37,210,United Kingdom,37.537,8.73,21.0,4.8839999999999995,41,59.4,13.814,19.4,4.605,1.4369999999999998,1.54,high-spending
304,36,148,5.107,125.22,42,United Kingdom,11.384,2.722,3.818,0.9129999999999999,23,27.636,6.609,3.818,0.9129999999999999,1.719,1.719,medium-spending
768,71,224,6.08,221.98,82,Singapore,22.198,5.414,8.2,2.0,52,76.8,18.732,8.2,2.0,2.127,2.206,high-spending
354,98,95,6.447,426.26,145,United Kingdom,47.361999999999995,10.93,16.111,3.718,73,39.333,9.077,15.667,3.6919999999999997,1.929,2.27,high-spending
96,11,96,3.4589999999999996,23.65,11,United Kingdom,2.9560000000000004,0.763,1.375,0.355,101,12.0,3.097,1.375,0.355,1.0,0.31,low-spending
38,4,44,1.7919999999999998,20.89,6,United Kingdom,2.611,0.653,0.75,0.188,485,4.75,1.188,0.625,0.156,0.779,0.779,low-spending
416,65,241,5.8420000000000005,224.49,91,United Kingdom,22.449,5.475,9.1,2.22,75,41.6,10.146,9.1,2.22,2.1790000000000003,2.1790000000000003,high-spending
48,19,48,4.168,43.39,24,United Kingdom,14.463,4.3389999999999995,8.0,2.4,274,16.0,4.8,6.332999999999999,1.9,1.0,1.0,medium-spending
646,105,155,6.624,209.65,125,United Kingdom,19.059,4.659,11.364,2.778,1,58.727,14.356,11.273,2.7560000000000002,2.354,2.354,high-spending
63,7,63,2.807,14.95,7,United Kingdom,2.136,0.498,1.0,0.233,2,9.0,2.1,1.0,0.233,0.971,0.971,low-spending
258,13,72,3.4010000000000002,62.06,29,United Kingdom,7.757000000000001,1.881,3.625,0.879,115,32.25,7.818,3.125,0.7879999999999999,2.128,2.7110000000000003,medium-spending
756,63,206,5.864,137.66,77,Poland,17.208,4.441,9.625,2.484,130,94.5,24.386999999999997,9.5,2.484,1.972,2.33,medium-spending
419,31,188,4.869,94.08,42,Denmark,10.453,2.412,4.667,1.077,75,46.556000000000004,10.744000000000002,4.667,1.077,1.536,1.536,medium-spending
1627,170,622,7.3629999999999995,435.99,184,Finland,39.635,9.478,16.727,4.0,26,147.909,35.37,16.455,4.0,1.5019999999999998,1.912,high-spending
59,5,60,2.252,10.09,6,United Kingdom,0.917,0.22899999999999998,0.545,0.136,38,5.364,1.341,0.545,0.136,0.8170000000000001,0.8170000000000001,low-spending
1,7,7,2.7769999999999997,35.85,13,United Kingdom,11.95,2.987,4.333,1.083,101,0.33299999999999996,0.083,4.333,1.083,1.7719999999999998,1.7719999999999998,medium-spending
2297,145,594,6.906000000000001,663.38,260,United Kingdom,55.282,13.007,21.666999999999998,5.098,10,191.417,45.038999999999994,19.75,4.961,2.396,2.76,high-spending
547,50,179,5.442,194.38,78,United Kingdom,24.298000000000002,5.7170000000000005,9.75,2.294,109,68.375,16.088,9.75,2.088,1.975,1.53,high-spending
441,92,197,6.465,196.37,101,United Kingdom,17.852,4.178,9.182,2.149,19,40.091,9.383,9.0,2.106,2.182,2.182,medium-spending
625,39,212,5.085,158.73,64,United Kingdom,13.228,3.112,5.332999999999999,1.255,101,52.083,12.255,4.5,1.137,1.52,2.129,medium-spending
178,39,178,5.242000000000001,67.12,41,United Kingdom,13.424000000000001,3.196,8.2,1.952,195,35.6,8.476,7.8,1.857,1.0,1.0,medium-spending
43,24,43,4.585,51.64,24,United Kingdom,7.377000000000001,1.7209999999999999,3.429,0.8,136,6.143,1.433,3.429,0.8,1.0,1.0,medium-spending
426,42,275,5.38,81.4,43,Belgium,8.14,1.985,4.3,1.0490000000000002,58,42.6,10.39,4.3,1.0490000000000002,0.971,0.971,medium-spending
353,86,131,6.2860000000000005,325.13,123,United Kingdom,27.094,6.635,10.25,2.51,13,29.416999999999998,7.204,9.917,2.4290000000000003,1.979,1.979,high-spending
2226,282,499,7.942,787.26,465,United Kingdom,71.569,17.114,42.273,10.109,24,202.364,48.391000000000005,40.727,9.761000000000001,2.307,2.399,high-spending
2,2,2,1.0,2.9,2,United Kingdom,0.58,0.145,0.4,0.1,89,0.4,0.1,0.4,0.1,1.0,1.0,low-spending
145,10,66,3.19,31.82,15,United Kingdom,2.8930000000000002,0.6920000000000001,1.364,0.326,25,13.182,3.1519999999999997,1.273,0.326,2.315,2.4659999999999997,low-spending
331,31,186,4.9110000000000005,70.27,34,United Kingdom,5.856,1.4340000000000002,2.833,0.6940000000000001,1,27.583000000000002,6.755,2.833,0.6940000000000001,1.675,1.675,medium-spending
350,29,240,4.84,93.4,30,United Kingdom,9.34,2.278,3.0,0.732,57,35.0,8.537,3.0,0.732,1.13,1.13,medium-spending
765,69,170,5.961,197.77,90,United Kingdom,19.777,4.709,9.0,2.1430000000000002,54,76.5,18.214000000000002,8.6,2.1430000000000002,2.057,3.2110000000000003,high-spending
617,227,173,7.687,443.87,279,United Kingdom,63.41,15.306,39.857,9.621,145,88.14299999999999,21.276,36.571,8.897,1.9240000000000002,2.281,high-spending
1459,62,66,5.586,313.91,142,United Kingdom,26.159000000000002,6.155,11.833,2.784,9,121.583,28.608,10.583,2.6860000000000004,3.452,5.1770000000000005,high-spending
